folder_name,num_particles,iterations,w,c1,c2,best_value
run_20251117_225126,90,200,0.7,1.6,1.5,6.140740482272607
run_20251117_225110,40,200,0.7,1.5,1.5,6.162682710092698
run_20251117_225123,80,170,0.7,1.5,1.5,6.177538655972388
run_20251117_225121,75,160,0.65,1.6,1.6,6.198540686241159
run_20251117_225116,55,120,0.7,1.5,1.5,6.249148543058026
run_20251117_225114,50,110,0.65,1.7,1.5,6.291889838179999
run_20251117_225113,45,100,0.7,1.4,1.6,6.307261421375
run_20251117_225120,70,150,0.7,1.5,1.7,6.309728042951126
run_20251117_225117,60,130,0.75,1.6,1.4,6.340062403064
run_20251117_225125,85,180,0.75,1.7,1.8,6.408730144572402
run_20251117_225108,30,70,0.6,1.4,1.6,6.697999188795318
run_20251117_225118,65,140,0.8,1.8,1.6,7.220990292142202
run_20251117_225109,35,80,0.7,1.6,1.7,7.336292969054
run_20251117_225112,40,90,0.75,1.5,1.8,7.3741142617780255
run_20251117_225105,20,50,0.7,1.5,1.5,7.604076261449879
run_20251117_225441,40,255,0.7,1.5,1.5,8.070393449330926
run_20251117_225107,25,60,0.8,1.8,1.8,11.811856334652997
